PERMNO,date,prc
57665,20050608,84.92
57665,20050609,85.65
57665,20050610,85.96
57665,20050613,87.14
57665,20050614,86.55
57665,20050615,87.64
57665,20050616,88.15
57665,20050617,88.38
57665,20050620,88.38
57665,20050621,88.85
57665,20050622,89.39
57665,20050623,90.1
57665,20050624,89.35
57665,20050627,85.77
57665,20050628,88
57665,20050629,87.32
57665,20050630,86.6
57665,20050701,86.01
57665,20050705,86.71
57665,20050706,85.58
57665,20050707,85.3
57665,20050708,86.24
57665,20050711,87.09
57665,20050712,87.03
57665,20050713,87.08
57665,20050714,87.59
57665,20050715,88.5
57665,20050718,87.91
57665,20050719,87.88
57665,20050720,88.44
57665,20050721,86.77
57665,20050722,86.63
57665,20050725,85.23
57665,20050726,84.4
57665,20050727,84
57665,20050728,84.5
57665,20050729,83.8
57665,20050801,82.86
57665,20050802,85.83
57665,20050803,86.92
57665,20050804,85.2
57665,20050805,85.03
57665,20050808,84.31
57665,20050809,83.7
57665,20050810,82.7
57665,20050811,81.96
57665,20050812,81.58
57665,20050815,82.17
57665,20050816,80.8
57665,20050817,79.96
57665,20050818,80.74
57665,20050819,80.34
57665,20050822,79.27
57665,20050823,79.06
57665,20050824,79.7
57665,20050825,79.87
57665,20050826,79.72
57665,20050829,79.44
57665,20050830,78.3
57665,20050831,78.91
57665,20050901,78.25
57665,20050902,77.02
57665,20050906,77.93
57665,20050907,77.07
57665,20050908,78.51
57665,20050909,78.52
57665,20050912,80
57665,20050913,79.28
57665,20050914,78.49
57665,20050915,78.94
57665,20050916,78.46
57665,20050919,83.45
57665,20050920,80
57665,20050921,79.4
57665,20050922,80.95
57665,20050923,81.27
57665,20050926,81.35
57665,20050927,81.6
57665,20050928,81.3
57665,20050929,81.1
57665,20050930,81.68
57665,20051003,82.3
57665,20051004,82.65
57665,20051005,81.49
57665,20051006,82.1
57665,20051007,82.77
57665,20051010,82.58
57665,20051011,82.98
57665,20051012,81.92
57665,20051013,80.76
57665,20051014,81.7
57665,20051017,82.17
57665,20051018,81.45
57665,20051019,82.45
57665,20051020,83.2
57665,20051021,83.48
57665,20051024,84.1
57665,20051025,83.52
57665,20051026,83.83
57665,20051027,82.4
57665,20051028,82.8
57665,20051031,84.05
57665,20051101,84.01
57665,20051102,85.55
57665,20051103,87.1
57665,20051104,87.8
57665,20051107,88
57665,20051108,86.82
57665,20051109,86.61
57665,20051110,87.32
57665,20051111,86.92
57665,20051114,86.51
57665,20051115,85.59
57665,20051116,85.97
57665,20051117,86.88
57665,20051118,87.7
57665,20051121,86.44
57665,20051122,87
57665,20051123,87.68
57665,20051125,88.21
57665,20051128,86.45
57665,20051129,85.9
57665,20051130,85.3
57665,20051201,85.57
57665,20051202,87.6
57665,20051205,87.33
57665,20051206,87.13
57665,20051207,86.7
57665,20051208,85.9
57665,20051209,85.9
57665,20051212,87.41
57665,20051213,87.92
57665,20051214,91.44
57665,20051215,89.75
57665,20051216,88.5
57665,20051219,87.26
57665,20051220,88.48
57665,20051221,85.75
57665,20051222,86.24
57665,20051223,87
57665,20051227,87.09
57665,20051228,87.6
57665,20051229,87.4
57665,20051230,86.79
57665,20060103,85.95
57665,20060104,85.55
57665,20060105,86.07
57665,20060106,85.8
57665,20060109,87
57665,20060110,87.18
57665,20060111,87.3
57665,20060112,86.31
57665,20060113,86.2
57665,20060117,85.2
